Schweizer Nährwertdatenbank – Generische Einträge V6.1 (28.03.2019),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,ID V 4.0,ID SwissFIR,Name,Synonyme,Kategorie,Dichte,Bezugseinheit,"Energie, Kilojoule",Herleitung des Wertes,Quelle,"Energie, Kalorien",Herleitung des Wertes,Quelle,"Fett, total (g)",Herleitung des Wertes,Quelle,"Fettsäuren, gesättigt (g)",Herleitung des Wertes,Quelle,"Fettsäuren, einfach ungesättigt (g)",Herleitung des Wertes,Quelle,"Fettsäuren, mehrfach ungesättigt (g)",Herleitung des Wertes,Quelle,Cholesterin (mg),Herleitung des Wertes,Quelle,"Kohlenhydrate, verfügbar (g)",Herleitung des Wertes,Quelle,Zucker (g),Herleitung des Wertes,Quelle,Stärke (g),Herleitung des Wertes,Quelle,Nahrungsfasern (g),Herleitung des Wertes,Quelle,Protein (g),Herleitung des Wertes,Quelle,Salz (NaCl) (g),Herleitung des Wertes,Quelle,Alkohol (g),Herleitung des Wertes,Quelle,Wasser (g),Herleitung des Wertes,Quelle,"Vitamin A-Aktivität, RE (µg-RE)",Herleitung des Wertes,Quelle,"Vitamin A-Aktivität, RAE (µg-RE)",Herleitung des Wertes,Quelle,All-trans Retinol-Äquivalente (µg-RE),Herleitung des Wertes,Quelle,Betacarotin-Aktivität (µg-BCE),Herleitung des Wertes,Quelle,Betacarotin (µg),Herleitung des Wertes,Quelle,Vitamin B1 (Thiamin) (mg),Herleitung des Wertes,Quelle,Vitamin B2 (Riboflavin) (mg),Herleitung des Wertes,Quelle,Vitamin B6 (Pyridoxin) (mg),Herleitung des Wertes,Quelle,Vitamin B12 (Cobalamin) (µg),Herleitung des Wertes,Quelle,Niacin (mg),Herleitung des Wertes,Quelle,Folat (µg),Herleitung des Wertes,Quelle,Pantothensäure (mg),Herleitung des Wertes,Quelle,Vitamin C (Ascorbinsäure) (mg),Herleitung des Wertes,Quelle,Vitamin D (Calciferol) (µg),Herleitung des Wertes,Quelle,Vitamin E-Aktivität (mg-ATE),Herleitung des Wertes,Quelle,Kalium (K) (mg),Herleitung des Wertes,Quelle,Natrium (Na) (mg),Herleitung des Wertes,Quelle,Chlorid (Cl) (mg),Herleitung des Wertes,Quelle,Calcium (Ca) (mg),Herleitung des Wertes,Quelle,Magnesium (Mg) (mg),Herleitung des Wertes,Quelle,Phosphor (P) (mg),Herleitung des Wertes,Quelle,Eisen (Fe) (mg),Herleitung des Wertes,Quelle,Jod (I) (µg),Herleitung des Wertes,Quelle,Zink (Zn)  (mg),Herleitung des Wertes,Quelle,Selen (Se) (µg),Herleitung des Wertes,Quelle,Geänderter Eintrag
1099,3569,,Krustentiere (Durchschnitt),,"Fisch/Meeresfrüchte, Krusten- und Schalentiere",,pro 100g essbarer Anteil,316,Automatisierte Berechnung,,75,Automatisierte Berechnung,,1,Berechnung anhand von Zutaten,,"0,1",Berechnung anhand von Zutaten,,"0,2",Berechnung anhand von Zutaten,,"0,3",Berechnung anhand von Zutaten,,123,Berechnung anhand von Zutaten,,1,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,"0,4",Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,"15,5",Berechnung anhand von Zutaten,,"0,7",Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,"82,6",Automatisierte Berechnung,,1,Automatisierte Berechnung,,1,Automatisierte Berechnung,,1,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,"0,14",Berechnung anhand von Zutaten,,"0,05",Berechnung anhand von Zutaten,,"0,15",Berechnung anhand von Zutaten,,"0,45",Berechnung anhand von Zutaten,,"3,84",Berechnung anhand von Zutaten,,"15,5",Berechnung anhand von Zutaten,,"0,75",Berechnung anhand von Zutaten,,2,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,"1,16",Berechnung anhand von Zutaten,,210,Berechnung anhand von Zutaten,,270,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,30,Berechnung anhand von Zutaten,,34,Berechnung anhand von Zutaten,,190,Berechnung anhand von Zutaten,,"1,2",Berechnung anhand von Zutaten,,170,Berechnung anhand von Zutaten,,"2,7",Berechnung anhand von Zutaten,,k.A.,,,Ja
761,4397,1001405,Miesmuschel,,"Fisch/Meeresfrüchte, Krusten- und Schalentiere",,pro 100g essbarer Anteil,357,Automatisierte Berechnung,,85,Automatisierte Berechnung,,"2,7",-,5,"0,5",-,5,"0,6",-,5,"0,6",-,5,108,-,5,"3,4",-,5,Sp.,-,5,0,Schätzung,51,0,-,5,"11,7",-,5,"0,7",Automatisierte Berechnung,,0,-,5,"82,1",-,5,84,Automatisierte Berechnung,,84,Automatisierte Berechnung,,84,-,145,0,Schätzung,51,0,Schätzung,51,"0,12",-,5,"0,16",-,5,"0,08",-,5,8,-,9,"1,6",-,5,37,-,5,"0,29",-,9,Sp.,-,5,Sp.,-,5,"1,11",-,5,320,-,5,290,-,5,460,-,9,88,-,5,36,-,9,240,-,5,"5,8",-,5,130,-,9,"1,6",-,5,k.A.,,,Nein
767,4393,1001414,Scampi (Kaisergranat),,"Fisch/Meeresfrüchte, Krusten- und Schalentiere",,pro 100g essbarer Anteil,395,Automatisierte Berechnung,,93,Automatisierte Berechnung,,"1,3",-,13,"0,2",-,13,"0,3",-,13,"0,4",-,13,95,-,13,"0,8",-,9,0,-,13,"0,8",-,9,0,-,22,"19,6",-,13,"0,9",Automatisierte Berechnung,,0,-,13,"75,9",-,13,0,Automatisierte Berechnung,,0,Automatisierte Berechnung,,0,-,145,0,Schätzung,51,0,Schätzung,51,"0,13",-,13,"0,01",-,13,"0,21",-,13,"0,9",-,13,"5,67",-,13,17,-,13,"1,5",-,13,3,-,13,0,-,13,"1,5",-,13,210,-,13,340,-,13,Sp.,-,22,29,-,13,68,-,13,180,-,13,2,-,13,240,-,13,"4,6",-,13,k.A.,,,Nein
765,4392,1001411,Egli,Flussbarsch,Fisch/Süsswasserfische,,pro 100g essbarer Anteil,334,Automatisierte Berechnung,,79,Automatisierte Berechnung,,"0,7",-,50,"0,1",-,50,"0,1",-,50,"0,3",-,50,70,-,5,0,-,50,0,-,5,0,Schätzung,51,0,-,5,18,-,22,"0,2",Automatisierte Berechnung,,0,-,5,"80,4",-,50,7,Automatisierte Berechnung,,7,Automatisierte Berechnung,,7,Schätzung,51,0,Schätzung,51,0,-,128,"0,07",-,5,"0,1",-,5,"0,12",-,5,1,-,9,"2,9",-,5,5,-,5,"0,19",-,9,2,-,5,"0,4",-,5,"0,2",-,5,80,-,5,92,-,5,60,-,9,80,-,5,30,-,9,370,-,50,"0,9",-,5,4,-,9,"1,1",-,5,27,-,1544,Nein
211,3579,832004,Felche,,Fisch/Süsswasserfische,,pro 100g essbarer Anteil,425,Automatisierte Berechnung,,101,Automatisierte Berechnung,,"2,7",-,136,"0,6",Schätzung,51,"0,6",Schätzung,51,"0,6",Schätzung,51,54,-,136,0,-,128,0,-,128,0,Schätzung,51,0,-,145,"19,2",-,136,"0,1",Automatisierte Berechnung,,0,Schätzung,51,"76,6",-,88,13,Automatisierte Berechnung,,13,Automatisierte Berechnung,,13,Schätzung,51,0,Schätzung,51,0,-,128,"0,07",-,128,"0,07",-,128,"0,45",-,128,1,-,128,4,-,145,10,-,128,k.A.,,,0,-,128,"22,1",-,128,"1,3",-,136,400,-,136,20,-,136,k.A.,,,34,-,136,26,-,136,230,-,136,"0,4",-,136,"1,5",-,88,"0,6",-,136,21,-,1544,Nein
13349,,,"Forelle, ganz, !ignore! (ohne Zusatz von Fett und Salz)",,Fisch/Süsswasserfische,,pro 100g essbarer Anteil,666,Automatisierte Berechnung,,159,Automatisierte Berechnung,,"8,8",Berechnung anhand von Zutaten,,"2,1",Berechnung anhand von Zutaten,,"2,8",Berechnung anhand von Zutaten,,"3,1",Berechnung anhand von Zutaten,,k.A.,,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,"20,1",Berechnung anhand von Zutaten,,"0,1",Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,"71,2",Automatisierte Berechnung,,15,Automatisierte Berechnung,,15,Automatisierte Berechnung,,15,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,"0,08",Berechnung anhand von Zutaten,,"0,05",Berechnung anhand von Zutaten,,"0,47",Berechnung anhand von Zutaten,,5,Berechnung anhand von Zutaten,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,"0,57",Berechnung anhand von Zutaten,,440,Berechnung anhand von Zutaten,,43,Berechnung anhand von Zutaten,,k.A.,,,18,Berechnung anhand von Zutaten,,32,Berechnung anhand von Zutaten,,230,Berechnung anhand von Zutaten,,2,Berechnung anhand von Zutaten,,15,Berechnung anhand von Zutaten,,"0,6",Berechnung anhand von Zutaten,,k.A.,,,Ja
289,4019,851005,Forelle,Bachforelle,Fisch/Süsswasserfische,,pro 100g essbarer Anteil,533,Automatisierte Berechnung,,127,Automatisierte Berechnung,,7,-,84,"1,7",Schätzung,1003,"2,2",Schätzung,1003,"2,5",Schätzung,1003,k.A.,,,0,-,65,0,-,65,0,Schätzung,51,0,-,65,16,-,84,"0,1",Automatisierte Berechnung,,0,Schätzung,51,"75,3",-,84,12,Automatisierte Berechnung,,12,Automatisierte Berechnung,,12,-,145,0,-,145,0,Schätzung,51,"0,08",-,65,"0,06",-,65,"0,54",-,145,5,-,145,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,"0,65",-,145,470,-,65,40,-,65,k.A.,,,14,-,65,30,-,145,220,-,65,2,-,65,14,-,88,"0,4",-,145,k.A.,,,Nein
416,4009,1000888,Hecht,,Fisch/Süsswasserfische,,pro 100g essbarer Anteil,344,Automatisierte Berechnung,,81,Automatisierte Berechnung,,"0,9",-,36,"0,2",-,9,"0,2",-,9,"0,2",-,9,63,-,36,0,-,36,0,-,36,0,Schätzung,51,0,-,9,"18,4",-,36,"0,2",Automatisierte Berechnung,,0,-,36,"79,6",-,36,6,Automatisierte Berechnung,,6,Automatisierte Berechnung,,6,Schätzung,51,0,Schätzung,51,0,-,128,"0,09",-,36,"0,06",-,36,"0,15",-,36,2,-,9,"1,6",-,36,6,-,36,"0,24",-,9,"3,8",-,9,2,-,9,"0,91",-,36,320,-,36,75,-,36,Sp.,-,22,32,-,36,28,-,36,230,-,36,"0,5",-,36,8,-,1007,"0,8",-,36,24,-,1544,Nein
1098,3682,,Fisch (Durchschnitt) ,,Fisch/Süsswasserfische;Fisch/Meeresfische,,pro 100g essbarer Anteil,572,Automatisierte Berechnung,,136,Automatisierte Berechnung,,"6,2",Berechnung anhand von Zutaten,,"1,3",Berechnung anhand von Zutaten,,"2,2",Berechnung anhand von Zutaten,,"1,7",Berechnung anhand von Zutaten,,47,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,"20,2",Berechnung anhand von Zutaten,,"0,2",Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,"73,6",Automatisierte Berechnung,,155,Automatisierte Berechnung,,155,Automatisierte Berechnung,,155,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,"0,18",Berechnung anhand von Zutaten,,"0,13",Berechnung anhand von Zutaten,,"0,52",Berechnung anhand von Zutaten,,"5,31",Berechnung anhand von Zutaten,,"6,96",Berechnung anhand von Zutaten,,"13,3",Berechnung anhand von Zutaten,,"1,15",Berechnung anhand von Zutaten,,"0,3",Berechnung anhand von Zutaten,,"6,3",Berechnung anhand von Zutaten,,"1,04",Berechnung anhand von Zutaten,,390,Berechnung anhand von Zutaten,,62,Berechnung anhand von Zutaten,,150,Berechnung anhand von Zutaten,,23,Berechnung anhand von Zutaten,,30,Berechnung anhand von Zutaten,,230,Berechnung anhand von Zutaten,,"0,8",Berechnung anhand von Zutaten,,45,Berechnung anhand von Zutaten,,"0,6",Berechnung anhand von Zutaten,,k.A.,,,Ja
13317,,,"Gehacktes (Durchschnitt aus Rind, Kalb, Schwein, Poulet), gebraten (ohne Zusatz von Fett und Salz)",,Fleisch und Innereien,,pro 100g essbarer Anteil,758,Automatisierte Berechnung,,181,Automatisierte Berechnung,,"7,9",Berechnung anhand von Zutaten,,3,Berechnung anhand von Zutaten,,"3,8",Berechnung anhand von Zutaten,,"0,8",Berechnung anhand von Zutaten,,79,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,"27,4",Berechnung anhand von Zutaten,,"0,1",Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,"64,7",Automatisierte Berechnung,,6,Automatisierte Berechnung,,5,Automatisierte Berechnung,,5,Berechnung anhand von Zutaten,,3,Berechnung anhand von Zutaten,,3,Berechnung anhand von Zutaten,,"0,41",Berechnung anhand von Zutaten,,"0,18",Berechnung anhand von Zutaten,,"0,42",Berechnung anhand von Zutaten,,"0,98",Berechnung anhand von Zutaten,,"6,35",Berechnung anhand von Zutaten,,7,Berechnung anhand von Zutaten,,"0,74",Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,1,Berechnung anhand von Zutaten,,"0,39",Berechnung anhand von Zutaten,,330,Berechnung anhand von Zutaten,,52,Berechnung anhand von Zutaten,,77,Berechnung anhand von Zutaten,,"5,2",Berechnung anhand von Zutaten,,23,Berechnung anhand von Zutaten,,200,Berechnung anhand von Zutaten,,"1,4",Berechnung anhand von Zutaten,,"1,9",Berechnung anhand von Zutaten,,"3,2",Berechnung anhand von Zutaten,,"5,3",Berechnung anhand von Zutaten,,Ja
13318,,,"Geschnetzeltes (Durchschnitt aus Rind, Kalb, Schwein, Geflügel), gebraten (ohne Zusatz von Fett und Salz)",,Fleisch und Innereien,,pro 100g essbarer Anteil,683,Automatisierte Berechnung,,162,Automatisierte Berechnung,,"4,6",Berechnung anhand von Zutaten,,"1,4",Berechnung anhand von Zutaten,,"1,9",Berechnung anhand von Zutaten,,"0,6",Berechnung anhand von Zutaten,,81,Berechnung anhand von Zutaten,,"0,1",Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,"30,1",Berechnung anhand von Zutaten,,"0,2",Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,"65,2",Automatisierte Berechnung,,6,Automatisierte Berechnung,,6,Automatisierte Berechnung,,5,Berechnung anhand von Zutaten,,3,Berechnung anhand von Zutaten,,3,Berechnung anhand von Zutaten,,"0,33",Berechnung anhand von Zutaten,,"0,18",Berechnung anhand von Zutaten,,"0,49",Berechnung anhand von Zutaten,,"0,89",Berechnung anhand von Zutaten,,"6,75",Berechnung anhand von Zutaten,,"4,9",Berechnung anhand von Zutaten,,"0,94",Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,"0,7",Berechnung anhand von Zutaten,,"0,36",Berechnung anhand von Zutaten,,370,Berechnung anhand von Zutaten,,62,Berechnung anhand von Zutaten,,83,Berechnung anhand von Zutaten,,"8,6",Berechnung anhand von Zutaten,,26,Berechnung anhand von Zutaten,,230,Berechnung anhand von Zutaten,,1,Berechnung anhand von Zutaten,,"1,9",Berechnung anhand von Zutaten,,3,Berechnung anhand von Zutaten,,13,Berechnung anhand von Zutaten,,Ja
13322,,,"Kotelett (Durchschnitt aus Kalb, Schwein, Lamm), gebraten (ohne Zusatz von Fett und Salz)",,Fleisch und Innereien,,pro 100g essbarer Anteil,1040,Automatisierte Berechnung,,250,Automatisierte Berechnung,,"14,4",Berechnung anhand von Zutaten,,"5,5",Berechnung anhand von Zutaten,,"6,4",Berechnung anhand von Zutaten,,"1,4",Berechnung anhand von Zutaten,,81,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,k.A.,,,0,Berechnung anhand von Zutaten,,30,Berechnung anhand von Zutaten,,"0,1",Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,"55,6",Automatisierte Berechnung,,5,Automatisierte Berechnung,,4,Automatisierte Berechnung,,4,Berechnung anhand von Zutaten,,1,Berechnung anhand von Zutaten,,1,Berechnung anhand von Zutaten,,"0,72",Berechnung anhand von Zutaten,,"0,21",Berechnung anhand von Zutaten,,"0,64",Berechnung anhand von Zutaten,,"0,98",Berechnung anhand von Zutaten,,k.A.,,,"2,9",Berechnung anhand von Zutaten,,1,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,"1,3",Berechnung anhand von Zutaten,,"0,4",Berechnung anhand von Zutaten,,390,Berechnung anhand von Zutaten,,54,Berechnung anhand von Zutaten,,94,Berechnung anhand von Zutaten,,7,Berechnung anhand von Zutaten,,26,Berechnung anhand von Zutaten,,230,Berechnung anhand von Zutaten,,"0,6",Berechnung anhand von Zutaten,,"1,4",Berechnung anhand von Zutaten,,"2,1",Berechnung anhand von Zutaten,,21,Berechnung anhand von Zutaten,,Ja
13320,,,"Leber (Durchschnitt aus Rind, Kalb, Schwein), gebraten (ohne Zusatz von Fett und Salz)",,Fleisch und Innereien,,pro 100g essbarer Anteil,690,Automatisierte Berechnung,,164,Automatisierte Berechnung,,"5,3",Berechnung anhand von Zutaten,,"1,8",Berechnung anhand von Zutaten,,"0,8",Berechnung anhand von Zutaten,,"1,4",Berechnung anhand von Zutaten,,430,Berechnung anhand von Zutaten,,"4,4",Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,"0,4",Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,"24,7",Berechnung anhand von Zutaten,,"0,2",Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,"65,6",Automatisierte Berechnung,,11064,Automatisierte Berechnung,,11026,Automatisierte Berechnung,,10988,Berechnung anhand von Zutaten,,456,Berechnung anhand von Zutaten,,4,Berechnung anhand von Zutaten,,"0,29",Berechnung anhand von Zutaten,,"3,33",Berechnung anhand von Zutaten,,"0,75",Berechnung anhand von Zutaten,,50,Berechnung anhand von Zutaten,,"15,6",Berechnung anhand von Zutaten,,"205,9",Berechnung anhand von Zutaten,,"7,6",Berechnung anhand von Zutaten,,21,Berechnung anhand von Zutaten,,"0,8",Berechnung anhand von Zutaten,,"0,64",Berechnung anhand von Zutaten,,290,Berechnung anhand von Zutaten,,90,Berechnung anhand von Zutaten,,100,Berechnung anhand von Zutaten,,"9,6",Berechnung anhand von Zutaten,,20,Berechnung anhand von Zutaten,,360,Berechnung anhand von Zutaten,,13,Berechnung anhand von Zutaten,,13,Berechnung anhand von Zutaten,,"5,3",Berechnung anhand von Zutaten,,k.A.,,,Ja
13319,,,"Plätzli (Durchschnitt aus Geflügel, Kalb, Rind, Schwein), gebraten (ohne Zusatz von Fett und Salz)",,Fleisch und Innereien,,pro 100g essbarer Anteil,655,Automatisierte Berechnung,,155,Automatisierte Berechnung,,"3,7",Berechnung anhand von Zutaten,,"1,3",Berechnung anhand von Zutaten,,"1,6",Berechnung anhand von Zutaten,,"0,5",Berechnung anhand von Zutaten,,78,Berechnung anhand von Zutaten,,"0,1",Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,"30,4",Berechnung anhand von Zutaten,,"0,2",Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,"65,8",Automatisierte Berechnung,,6,Automatisierte Berechnung,,6,Automatisierte Berechnung,,5,Berechnung anhand von Zutaten,,3,Berechnung anhand von Zutaten,,3,Berechnung anhand von Zutaten,,"0,43",Berechnung anhand von Zutaten,,"0,21",Berechnung anhand von Zutaten,,"0,41",Berechnung anhand von Zutaten,,"1,05",Berechnung anhand von Zutaten,,"7,82",Berechnung anhand von Zutaten,,"7,4",Berechnung anhand von Zutaten,,"0,91",Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,"0,4",Berechnung anhand von Zutaten,,"0,49",Berechnung anhand von Zutaten,,360,Berechnung anhand von Zutaten,,68,Berechnung anhand von Zutaten,,110,Berechnung anhand von Zutaten,,10,Berechnung anhand von Zutaten,,27,Berechnung anhand von Zutaten,,230,Berechnung anhand von Zutaten,,"1,5",Berechnung anhand von Zutaten,,"1,8",Berechnung anhand von Zutaten,,3,Berechnung anhand von Zutaten,,10,Berechnung anhand von Zutaten,,Ja
1100,3998,,Geflügelfleisch (Durchschnitt exkl. Innereien),,Fleisch und Innereien/Geflügel,,pro 100g essbarer Anteil,550,Automatisierte Berechnung,,131,Automatisierte Berechnung,,"4,8",Berechnung anhand von Zutaten,,"1,5",Berechnung anhand von Zutaten,,"2,2",Berechnung anhand von Zutaten,,1,Berechnung anhand von Zutaten,,68,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,"21,9",Berechnung anhand von Zutaten,,"0,1",Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,"73,3",Automatisierte Berechnung,,10,Automatisierte Berechnung,,10,Automatisierte Berechnung,,10,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,"0,11",Berechnung anhand von Zutaten,,"0,15",Berechnung anhand von Zutaten,,"0,56",Berechnung anhand von Zutaten,,"0,43",Berechnung anhand von Zutaten,,"8,31",Berechnung anhand von Zutaten,,"10,1",Berechnung anhand von Zutaten,,"0,86",Berechnung anhand von Zutaten,,"0,2",Berechnung anhand von Zutaten,,"1,1",Berechnung anhand von Zutaten,,"0,49",Berechnung anhand von Zutaten,,320,Berechnung anhand von Zutaten,,56,Berechnung anhand von Zutaten,,74,Berechnung anhand von Zutaten,,"6,5",Berechnung anhand von Zutaten,,24,Berechnung anhand von Zutaten,,200,Berechnung anhand von Zutaten,,"0,6",Berechnung anhand von Zutaten,,"5,4",Berechnung anhand von Zutaten,,"0,9",Berechnung anhand von Zutaten,,k.A.,,,Ja
1109,4025,,Geflügelfleisch mit Haut (Durchschnitt),,Fleisch und Innereien/Geflügel,,pro 100g essbarer Anteil,631,Automatisierte Berechnung,,151,Automatisierte Berechnung,,"7,6",Berechnung anhand von Zutaten,,"2,4",Berechnung anhand von Zutaten,,"3,5",Berechnung anhand von Zutaten,,"1,5",Berechnung anhand von Zutaten,,74,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,"20,7",Berechnung anhand von Zutaten,,"0,1",Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,"71,8",Automatisierte Berechnung,,16,Automatisierte Berechnung,,16,Automatisierte Berechnung,,16,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,"0,1",Berechnung anhand von Zutaten,,"0,14",Berechnung anhand von Zutaten,,"0,55",Berechnung anhand von Zutaten,,"0,4",Berechnung anhand von Zutaten,,"5,24",Berechnung anhand von Zutaten,,"9,6",Berechnung anhand von Zutaten,,"0,88",Berechnung anhand von Zutaten,,"0,5",Berechnung anhand von Zutaten,,"1,2",Berechnung anhand von Zutaten,,"0,51",Berechnung anhand von Zutaten,,300,Berechnung anhand von Zutaten,,53,Berechnung anhand von Zutaten,,81,Berechnung anhand von Zutaten,,"6,2",Berechnung anhand von Zutaten,,22,Berechnung anhand von Zutaten,,190,Berechnung anhand von Zutaten,,"0,6",Berechnung anhand von Zutaten,,"9,2",Berechnung anhand von Zutaten,,"0,8",Berechnung anhand von Zutaten,,k.A.,,,Ja
1108,3997,,Geflügelfleisch ohne Haut (Durchschnitt exkl. Innereien),,Fleisch und Innereien/Geflügel,,pro 100g essbarer Anteil,482,Automatisierte Berechnung,,114,Automatisierte Berechnung,,"2,5",Berechnung anhand von Zutaten,,"0,8",Berechnung anhand von Zutaten,,"1,1",Berechnung anhand von Zutaten,,"0,6",Berechnung anhand von Zutaten,,63,Berechnung anhand von Zutaten,,"0,1",Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,"22,9",Berechnung anhand von Zutaten,,"0,1",Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,"74,6",Automatisierte Berechnung,,5,Automatisierte Berechnung,,5,Automatisierte Berechnung,,5,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,"0,12",Berechnung anhand von Zutaten,,"0,16",Berechnung anhand von Zutaten,,"0,56",Berechnung anhand von Zutaten,,"0,45",Berechnung anhand von Zutaten,,"10,35",Berechnung anhand von Zutaten,,"10,5",Berechnung anhand von Zutaten,,"0,85",Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,1,Berechnung anhand von Zutaten,,"0,48",Berechnung anhand von Zutaten,,330,Berechnung anhand von Zutaten,,58,Berechnung anhand von Zutaten,,67,Berechnung anhand von Zutaten,,"6,7",Berechnung anhand von Zutaten,,26,Berechnung anhand von Zutaten,,210,Berechnung anhand von Zutaten,,"0,6",Berechnung anhand von Zutaten,,"2,2",Berechnung anhand von Zutaten,,1,Berechnung anhand von Zutaten,,k.A.,,,Ja
21,3874,812062,"Poulet, Brust, mit Haut (Frankreich)",,Fleisch und Innereien/Geflügel,,pro 100g essbarer Anteil,530,Automatisierte Berechnung,,126,Automatisierte Berechnung,,"3,3",-,146,"1,3",-,146,"1,7",-,146,"0,9",-,146,56,-,146,0,Schätzung,51,0,Schätzung,51,k.A.,,,0,Schätzung,51,24,-,146,"0,1",Automatisierte Berechnung,,0,Schätzung,51,"69,7",-,146,12,Automatisierte Berechnung,,12,Automatisierte Berechnung,,12,-,104,0,Schätzung,51,0,-,104,"0,08",-,104,"0,14",-,104,"0,57",-,146,"0,4",-,120,k.A.,,,10,-,120,"0,87",-,159,0,Schätzung,51,"1,5",-,117,"0,62",-,107,330,-,146,39,-,146,69,-,8,"4,6",-,146,26,-,146,210,-,146,"0,5",-,146,10,-,8,"0,6",-,146,12,-,1406,Nein
20,3876,812061,"Poulet, Brust, mit Haut (Schweiz)",,Fleisch und Innereien/Geflügel,,pro 100g essbarer Anteil,637,Automatisierte Berechnung,,152,Automatisierte Berechnung,,"6,5",-,146,"2,1",-,146,"3,3",-,146,"1,3",-,146,70,-,146,0,Schätzung,51,0,Schätzung,51,k.A.,,,0,Schätzung,51,"23,3",-,146,"0,1",Automatisierte Berechnung,,0,Schätzung,51,"69,9",-,146,12,Automatisierte Berechnung,,12,Automatisierte Berechnung,,12,-,104,0,Schätzung,51,0,-,104,"0,08",-,104,"0,14",-,104,"0,77",-,146,"0,4",-,120,k.A.,,,10,-,120,"0,87",-,159,0,Schätzung,51,"1,5",-,117,"0,62",-,107,320,-,146,34,-,146,69,-,8,"3,9",-,146,26,-,146,210,-,146,"0,3",-,146,10,-,8,"0,5",-,146,k.A.,,,Nein
